PG	ID	URI	Text	Name	OA	OA	OA	OA	OA	Wikipedia	Viaf.org	Encyclopaedia of Islam (https://referenceworks-brillonline-com.emedien.ub.uni-muenchen.de/cluster/Encyclopaedia%20of%20Islam) 	Encyclopaedia Iranica (http://www.iranicaonline.org)	SEP (https://plato.stanford.edu/)	Syriaca.org (esp. Christian authors)	Concatenate	Copy to Recogito	Comments
2	211	https://usaybia.net/person/211	https://usaybia.net/person/211_____________													,https://usaybia.net/person/211	https://usaybia.net/person/211	
2	212	https://usaybia.net/person/212	https://usaybia.net/person/212_____________													,https://usaybia.net/person/212	https://usaybia.net/person/212	
2	213	https://usaybia.net/person/213	https://usaybia.net/person/213_____________													,https://usaybia.net/person/213	https://usaybia.net/person/213	
2	214	https://usaybia.net/person/214	https://usaybia.net/person/214_____________													,https://usaybia.net/person/214	https://usaybia.net/person/214	
2	215	https://usaybia.net/person/215	https://usaybia.net/person/215_____________													,https://usaybia.net/person/215	https://usaybia.net/person/215	
2	216	https://usaybia.net/person/216	https://usaybia.net/person/216_____________													,https://usaybia.net/person/216	https://usaybia.net/person/216	
2	217	https://usaybia.net/person/217	https://usaybia.net/person/217_____________													,https://usaybia.net/person/217	https://usaybia.net/person/217	
2	218	https://usaybia.net/person/218	https://usaybia.net/person/218_____________													,https://usaybia.net/person/218	https://usaybia.net/person/218	
2	219	https://usaybia.net/person/219	https://usaybia.net/person/219_____________													,https://usaybia.net/person/219	https://usaybia.net/person/219	
2	220	https://usaybia.net/person/220	https://usaybia.net/person/220_____________													,https://usaybia.net/person/220	https://usaybia.net/person/220	
2	221	https://usaybia.net/person/221	https://usaybia.net/person/221_____________													,https://usaybia.net/person/221	https://usaybia.net/person/221	
2	222	https://usaybia.net/person/222	https://usaybia.net/person/222_____________													,https://usaybia.net/person/222	https://usaybia.net/person/222	
2	223	https://usaybia.net/person/223	https://usaybia.net/person/223_____________													,https://usaybia.net/person/223	https://usaybia.net/person/223	
2	224	https://usaybia.net/person/224	https://usaybia.net/person/224_____________													,https://usaybia.net/person/224	https://usaybia.net/person/224	
2	225	https://usaybia.net/person/225	https://usaybia.net/person/225_____________													,https://usaybia.net/person/225	https://usaybia.net/person/225	
2	226	https://usaybia.net/person/226	https://usaybia.net/person/226_____________													,https://usaybia.net/person/226	https://usaybia.net/person/226	
2	227	https://usaybia.net/person/227	https://usaybia.net/person/227_____________													,https://usaybia.net/person/227	https://usaybia.net/person/227	
2	228	https://usaybia.net/person/228	https://usaybia.net/person/228_____________													,https://usaybia.net/person/228	https://usaybia.net/person/228	
2	229	https://usaybia.net/person/229	https://usaybia.net/person/229_____________													,https://usaybia.net/person/229	https://usaybia.net/person/229	
2	230	https://usaybia.net/person/230	https://usaybia.net/person/230_____________													,https://usaybia.net/person/230	https://usaybia.net/person/230	
2	231	https://usaybia.net/person/231	https://usaybia.net/person/231_____________													,https://usaybia.net/person/231	https://usaybia.net/person/231	
2	232	https://usaybia.net/person/232	https://usaybia.net/person/232_____________													,https://usaybia.net/person/232	https://usaybia.net/person/232	
3	300	https://usaybia.net/person/300	https://usaybia.net/person/300_____________													,https://usaybia.net/person/300	https://usaybia.net/person/300	
3	301	https://usaybia.net/person/301	https://usaybia.net/person/301_____________													,https://usaybia.net/person/301	https://usaybia.net/person/301	
3	302	https://usaybia.net/person/302	https://usaybia.net/person/302_____________													,https://usaybia.net/person/302	https://usaybia.net/person/302	
3	303	https://usaybia.net/person/303	https://usaybia.net/person/303_____________													,https://usaybia.net/person/303	https://usaybia.net/person/303	
3	304	https://usaybia.net/person/304	https://usaybia.net/person/304_____________													,https://usaybia.net/person/304	https://usaybia.net/person/304	
3	305	https://usaybia.net/person/305	https://usaybia.net/person/305_____________													,https://usaybia.net/person/305	https://usaybia.net/person/305	
3	306	https://usaybia.net/person/306	https://usaybia.net/person/306_____________													,https://usaybia.net/person/306	https://usaybia.net/person/306	
3	307	https://usaybia.net/person/307	https://usaybia.net/person/307_____________													,https://usaybia.net/person/307	https://usaybia.net/person/307	
3	308	https://usaybia.net/person/308	https://usaybia.net/person/308_____________													,https://usaybia.net/person/308	https://usaybia.net/person/308	
3	309	https://usaybia.net/person/309	https://usaybia.net/person/309_____________													,https://usaybia.net/person/309	https://usaybia.net/person/309	
3	310	https://usaybia.net/person/310	https://usaybia.net/person/310_____________													,https://usaybia.net/person/310	https://usaybia.net/person/310	
3	311	https://usaybia.net/person/311	https://usaybia.net/person/311_____________													,https://usaybia.net/person/311	https://usaybia.net/person/311	
3	312	https://usaybia.net/person/312	https://usaybia.net/person/312_____________													,https://usaybia.net/person/312	https://usaybia.net/person/312	
3	313	https://usaybia.net/person/313	https://usaybia.net/person/313_____________													,https://usaybia.net/person/313	https://usaybia.net/person/313	
3	314	https://usaybia.net/person/314	https://usaybia.net/person/314_____________													,https://usaybia.net/person/314	https://usaybia.net/person/314	
3	315	https://usaybia.net/person/315	https://usaybia.net/person/315_____________													,https://usaybia.net/person/315	https://usaybia.net/person/315	
3	316	https://usaybia.net/person/316	https://usaybia.net/person/316_____________													,https://usaybia.net/person/316	https://usaybia.net/person/316	
3	317	https://usaybia.net/person/317	https://usaybia.net/person/317_____________													,https://usaybia.net/person/317	https://usaybia.net/person/317	
3	318	https://usaybia.net/person/318	https://usaybia.net/person/318_____________													,https://usaybia.net/person/318	https://usaybia.net/person/318	
3	319	https://usaybia.net/person/319	https://usaybia.net/person/319_____________													,https://usaybia.net/person/319	https://usaybia.net/person/319	
3	320	https://usaybia.net/person/320	https://usaybia.net/person/320_____________													,https://usaybia.net/person/320	https://usaybia.net/person/320	
3	321	https://usaybia.net/person/321	https://usaybia.net/person/321_____________													,https://usaybia.net/person/321	https://usaybia.net/person/321	
3	322	https://usaybia.net/person/322	https://usaybia.net/person/322_____________													,https://usaybia.net/person/322	https://usaybia.net/person/322	
3	323	https://usaybia.net/person/323	https://usaybia.net/person/323_____________													,https://usaybia.net/person/323	https://usaybia.net/person/323	
3	324	https://usaybia.net/person/324	https://usaybia.net/person/324_____________													,https://usaybia.net/person/324	https://usaybia.net/person/324	
3	325	https://usaybia.net/person/325	https://usaybia.net/person/325_____________													,https://usaybia.net/person/325	https://usaybia.net/person/325	
3	326	https://usaybia.net/person/326	https://usaybia.net/person/326_____________													,https://usaybia.net/person/326	https://usaybia.net/person/326	
3	327	https://usaybia.net/person/327	https://usaybia.net/person/327_____________													,https://usaybia.net/person/327	https://usaybia.net/person/327	
3	328	https://usaybia.net/person/328	https://usaybia.net/person/328_____________													,https://usaybia.net/person/328	https://usaybia.net/person/328	
3	329	https://usaybia.net/person/329	https://usaybia.net/person/329_____________													,https://usaybia.net/person/329	https://usaybia.net/person/329	
3	330	https://usaybia.net/person/330	https://usaybia.net/person/330_____________													,https://usaybia.net/person/330	https://usaybia.net/person/330	
3	331	https://usaybia.net/person/331	https://usaybia.net/person/331_____________													,https://usaybia.net/person/331	https://usaybia.net/person/331	
3	332	https://usaybia.net/person/332	https://usaybia.net/person/332_____________													,https://usaybia.net/person/332	https://usaybia.net/person/332	
4	400	https://usaybia.net/person/400	https://usaybia.net/person/400_____________													,https://usaybia.net/person/400	https://usaybia.net/person/400	
4	401	https://usaybia.net/person/401	https://usaybia.net/person/401_____________													,https://usaybia.net/person/401	https://usaybia.net/person/401	
4	402	https://usaybia.net/person/402	https://usaybia.net/person/402_____________													,https://usaybia.net/person/402	https://usaybia.net/person/402	
4	403	https://usaybia.net/person/403	https://usaybia.net/person/403_____________													,https://usaybia.net/person/403	https://usaybia.net/person/403	
4	404	https://usaybia.net/person/404	https://usaybia.net/person/404_____________													,https://usaybia.net/person/404	https://usaybia.net/person/404	
4	405	https://usaybia.net/person/405	https://usaybia.net/person/405_____________													,https://usaybia.net/person/405	https://usaybia.net/person/405	
4	406	https://usaybia.net/person/406	https://usaybia.net/person/406_____________													,https://usaybia.net/person/406	https://usaybia.net/person/406	
4	407	https://usaybia.net/person/407	https://usaybia.net/person/407_____________													,https://usaybia.net/person/407	https://usaybia.net/person/407	
4	408	https://usaybia.net/person/408	https://usaybia.net/person/408_____________													,https://usaybia.net/person/408	https://usaybia.net/person/408	
4	409	https://usaybia.net/person/409	https://usaybia.net/person/409_____________													,https://usaybia.net/person/409	https://usaybia.net/person/409	
4	410	https://usaybia.net/person/410	https://usaybia.net/person/410_____________													,https://usaybia.net/person/410	https://usaybia.net/person/410	
4	411	https://usaybia.net/person/411	https://usaybia.net/person/411_____________													,https://usaybia.net/person/411	https://usaybia.net/person/411	
4	412	https://usaybia.net/person/412	https://usaybia.net/person/412_____________													,https://usaybia.net/person/412	https://usaybia.net/person/412	
4	413	https://usaybia.net/person/413	https://usaybia.net/person/413_____________													,https://usaybia.net/person/413	https://usaybia.net/person/413	
4	414	https://usaybia.net/person/414	https://usaybia.net/person/414_____________													,https://usaybia.net/person/414	https://usaybia.net/person/414	
4	415	https://usaybia.net/person/415	https://usaybia.net/person/415_____________													,https://usaybia.net/person/415	https://usaybia.net/person/415	
4	416	https://usaybia.net/person/416	https://usaybia.net/person/416_____________													,https://usaybia.net/person/416	https://usaybia.net/person/416	
4	417	https://usaybia.net/person/417	https://usaybia.net/person/417_____________													,https://usaybia.net/person/417	https://usaybia.net/person/417	
4	418	https://usaybia.net/person/418	https://usaybia.net/person/418_____________													,https://usaybia.net/person/418	https://usaybia.net/person/418	
4	419	https://usaybia.net/person/419	https://usaybia.net/person/419_____________													,https://usaybia.net/person/419	https://usaybia.net/person/419	
4	420	https://usaybia.net/person/420	https://usaybia.net/person/420_____________													,https://usaybia.net/person/420	https://usaybia.net/person/420	
4	421	https://usaybia.net/person/421	https://usaybia.net/person/421_____________													,https://usaybia.net/person/421	https://usaybia.net/person/421	
4	422	https://usaybia.net/person/422	https://usaybia.net/person/422_____________													,https://usaybia.net/person/422	https://usaybia.net/person/422	
4	423	https://usaybia.net/person/423	https://usaybia.net/person/423_____________													,https://usaybia.net/person/423	https://usaybia.net/person/423	
4	424	https://usaybia.net/person/424	https://usaybia.net/person/424_____________													,https://usaybia.net/person/424	https://usaybia.net/person/424	
4	425	https://usaybia.net/person/425	https://usaybia.net/person/425_____________													,https://usaybia.net/person/425	https://usaybia.net/person/425	
4	426	https://usaybia.net/person/426	https://usaybia.net/person/426_____________													,https://usaybia.net/person/426	https://usaybia.net/person/426	
4	427	https://usaybia.net/person/427	https://usaybia.net/person/427_____________													,https://usaybia.net/person/427	https://usaybia.net/person/427	
4	428	https://usaybia.net/person/428	https://usaybia.net/person/428_____________													,https://usaybia.net/person/428	https://usaybia.net/person/428	
4	429	https://usaybia.net/person/429	https://usaybia.net/person/429_____________													,https://usaybia.net/person/429	https://usaybia.net/person/429	
4	430	https://usaybia.net/person/430	https://usaybia.net/person/430_____________													,https://usaybia.net/person/430	https://usaybia.net/person/430	
4	431	https://usaybia.net/person/431	https://usaybia.net/person/431_____________													,https://usaybia.net/person/431	https://usaybia.net/person/431	
4	432	https://usaybia.net/person/432	https://usaybia.net/person/432_____________													,https://usaybia.net/person/432	https://usaybia.net/person/432	
5	500	https://usaybia.net/person/500	https://usaybia.net/person/500_____________													,https://usaybia.net/person/500	https://usaybia.net/person/500	
5	501	https://usaybia.net/person/501	https://usaybia.net/person/501_____________													,https://usaybia.net/person/501	https://usaybia.net/person/501	
5	502	https://usaybia.net/person/502	https://usaybia.net/person/502_____________													,https://usaybia.net/person/502	https://usaybia.net/person/502	
5	503	https://usaybia.net/person/503	https://usaybia.net/person/503_____________													,https://usaybia.net/person/503	https://usaybia.net/person/503	
5	504	https://usaybia.net/person/504	https://usaybia.net/person/504_____________													,https://usaybia.net/person/504	https://usaybia.net/person/504	
5	505	https://usaybia.net/person/505	https://usaybia.net/person/505_____________													,https://usaybia.net/person/505	https://usaybia.net/person/505	
5	506	https://usaybia.net/person/506	https://usaybia.net/person/506_____________													,https://usaybia.net/person/506	https://usaybia.net/person/506	
5	507	https://usaybia.net/person/507	https://usaybia.net/person/507_____________													,https://usaybia.net/person/507	https://usaybia.net/person/507	
5	508	https://usaybia.net/person/508	https://usaybia.net/person/508_____________													,https://usaybia.net/person/508	https://usaybia.net/person/508	
5	509	https://usaybia.net/person/509	https://usaybia.net/person/509_____________													,https://usaybia.net/person/509	https://usaybia.net/person/509	
5	510	https://usaybia.net/person/510	https://usaybia.net/person/510_____________													,https://usaybia.net/person/510	https://usaybia.net/person/510	
5	511	https://usaybia.net/person/511	https://usaybia.net/person/511_____________													,https://usaybia.net/person/511	https://usaybia.net/person/511	
5	512	https://usaybia.net/person/512	https://usaybia.net/person/512_____________													,https://usaybia.net/person/512	https://usaybia.net/person/512	
5	513	https://usaybia.net/person/513	https://usaybia.net/person/513_____________													,https://usaybia.net/person/513	https://usaybia.net/person/513	
5	514	https://usaybia.net/person/514	https://usaybia.net/person/514_____________													,https://usaybia.net/person/514	https://usaybia.net/person/514	
5	515	https://usaybia.net/person/515	https://usaybia.net/person/515_____________													,https://usaybia.net/person/515	https://usaybia.net/person/515	
5	516	https://usaybia.net/person/516	https://usaybia.net/person/516_____________													,https://usaybia.net/person/516	https://usaybia.net/person/516	
5	517	https://usaybia.net/person/517	https://usaybia.net/person/517_____________													,https://usaybia.net/person/517	https://usaybia.net/person/517	
5	518	https://usaybia.net/person/518	https://usaybia.net/person/518_____________													,https://usaybia.net/person/518	https://usaybia.net/person/518	
5	519	https://usaybia.net/person/519	https://usaybia.net/person/519_____________													,https://usaybia.net/person/519	https://usaybia.net/person/519	
5	520	https://usaybia.net/person/520	https://usaybia.net/person/520_____________													,https://usaybia.net/person/520	https://usaybia.net/person/520	
5	521	https://usaybia.net/person/521	https://usaybia.net/person/521_____________													,https://usaybia.net/person/521	https://usaybia.net/person/521	
5	522	https://usaybia.net/person/522	https://usaybia.net/person/522_____________													,https://usaybia.net/person/522	https://usaybia.net/person/522	
5	523	https://usaybia.net/person/523	https://usaybia.net/person/523_____________													,https://usaybia.net/person/523	https://usaybia.net/person/523	
5	524	https://usaybia.net/person/524	https://usaybia.net/person/524_____________													,https://usaybia.net/person/524	https://usaybia.net/person/524	
5	525	https://usaybia.net/person/525	https://usaybia.net/person/525_____________													,https://usaybia.net/person/525	https://usaybia.net/person/525	
5	526	https://usaybia.net/person/526	https://usaybia.net/person/526_____________													,https://usaybia.net/person/526	https://usaybia.net/person/526	
5	527	https://usaybia.net/person/527	https://usaybia.net/person/527_____________													,https://usaybia.net/person/527	https://usaybia.net/person/527	
5	528	https://usaybia.net/person/528	https://usaybia.net/person/528_____________													,https://usaybia.net/person/528	https://usaybia.net/person/528	
5	529	https://usaybia.net/person/529	https://usaybia.net/person/529_____________	ابن البواب (أبو الحسن علي بن هلال بن عبد العزيز)	https://onomasticon.irht.cnrs.fr/en/entry/id/12945	https://onomasticon.irht.cnrs.fr/en/entry/id/30457				https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%A8%D9%88%D8%A7%D8%A8	http://viaf.org/viaf/67966754	http://dx.doi.org/10.1163/1573-3912_islam_SIM_3114				,https://usaybia.net/person/529,https://onomasticon.irht.cnrs.fr/en/entry/id/12945,https://onomasticon.irht.cnrs.fr/en/entry/id/30457,https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%A8%D9%88%D8%A7%D8%A8,http://viaf.org/viaf/67966754,http://dx.doi.org/10.1163/1573-3912_islam_SIM_3114	https://usaybia.net/person/529,https://onomasticon.irht.cnrs.fr/en/entry/id/12945,https://onomasticon.irht.cnrs.fr/en/entry/id/30457,https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%A8%D9%88%D8%A7%D8%A8,http://viaf.org/viaf/67966754,http://dx.doi.org/10.1163/1573-3912_islam_SIM_3114	
5	530	https://usaybia.net/person/530	https://usaybia.net/person/530_____________													,https://usaybia.net/person/530	https://usaybia.net/person/530	
5	531	https://usaybia.net/person/531	https://usaybia.net/person/531_____________													,https://usaybia.net/person/531	https://usaybia.net/person/531	
5	532	https://usaybia.net/person/532	https://usaybia.net/person/532_____________													,https://usaybia.net/person/532	https://usaybia.net/person/532	
6	600	https://usaybia.net/person/600	https://usaybia.net/person/600_____________													,https://usaybia.net/person/600	https://usaybia.net/person/600	
6	601	https://usaybia.net/person/601	https://usaybia.net/person/601_____________													,https://usaybia.net/person/601	https://usaybia.net/person/601	
6	602	https://usaybia.net/person/602	https://usaybia.net/person/602_____________													,https://usaybia.net/person/602	https://usaybia.net/person/602	
6	603	https://usaybia.net/person/603	https://usaybia.net/person/603_____________													,https://usaybia.net/person/603	https://usaybia.net/person/603	
6	604	https://usaybia.net/person/604	https://usaybia.net/person/604_____________													,https://usaybia.net/person/604	https://usaybia.net/person/604	
6	605	https://usaybia.net/person/605	https://usaybia.net/person/605_____________													,https://usaybia.net/person/605	https://usaybia.net/person/605	
6	606	https://usaybia.net/person/606	https://usaybia.net/person/606_____________													,https://usaybia.net/person/606	https://usaybia.net/person/606	
6	607	https://usaybia.net/person/607	https://usaybia.net/person/607_____________													,https://usaybia.net/person/607	https://usaybia.net/person/607	
6	608	https://usaybia.net/person/608	https://usaybia.net/person/608_____________													,https://usaybia.net/person/608	https://usaybia.net/person/608	
6	609	https://usaybia.net/person/609	https://usaybia.net/person/609_____________													,https://usaybia.net/person/609	https://usaybia.net/person/609	
6	610	https://usaybia.net/person/610	https://usaybia.net/person/610_____________													,https://usaybia.net/person/610	https://usaybia.net/person/610	
6	611	https://usaybia.net/person/611	https://usaybia.net/person/611_____________													,https://usaybia.net/person/611	https://usaybia.net/person/611	
6	612	https://usaybia.net/person/612	https://usaybia.net/person/612_____________													,https://usaybia.net/person/612	https://usaybia.net/person/612	
6	613	https://usaybia.net/person/613	https://usaybia.net/person/613_____________													,https://usaybia.net/person/613	https://usaybia.net/person/613	
6	614	https://usaybia.net/person/614	https://usaybia.net/person/614_____________													,https://usaybia.net/person/614	https://usaybia.net/person/614	
6	615	https://usaybia.net/person/615	https://usaybia.net/person/615_____________													,https://usaybia.net/person/615	https://usaybia.net/person/615	
6	616	https://usaybia.net/person/616	https://usaybia.net/person/616_____________													,https://usaybia.net/person/616	https://usaybia.net/person/616	
6	617	https://usaybia.net/person/617	https://usaybia.net/person/617_____________													,https://usaybia.net/person/617	https://usaybia.net/person/617	
6	618	https://usaybia.net/person/618	https://usaybia.net/person/618_____________													,https://usaybia.net/person/618	https://usaybia.net/person/618	
6	619	https://usaybia.net/person/619	https://usaybia.net/person/619_____________													,https://usaybia.net/person/619	https://usaybia.net/person/619	
6	620	https://usaybia.net/person/620	https://usaybia.net/person/620_____________													,https://usaybia.net/person/620	https://usaybia.net/person/620	
6	621	https://usaybia.net/person/621	https://usaybia.net/person/621_____________													,https://usaybia.net/person/621	https://usaybia.net/person/621	
6	622	https://usaybia.net/person/622	https://usaybia.net/person/622_____________													,https://usaybia.net/person/622	https://usaybia.net/person/622	
6	623	https://usaybia.net/person/623	https://usaybia.net/person/623_____________													,https://usaybia.net/person/623	https://usaybia.net/person/623	
6	624	https://usaybia.net/person/624	https://usaybia.net/person/624_____________													,https://usaybia.net/person/624	https://usaybia.net/person/624	
6	625	https://usaybia.net/person/625	https://usaybia.net/person/625_____________													,https://usaybia.net/person/625	https://usaybia.net/person/625	
6	626	https://usaybia.net/person/626	https://usaybia.net/person/626_____________													,https://usaybia.net/person/626	https://usaybia.net/person/626	
6	627	https://usaybia.net/person/627	https://usaybia.net/person/627_____________													,https://usaybia.net/person/627	https://usaybia.net/person/627	
6	628	https://usaybia.net/person/628	https://usaybia.net/person/628_____________													,https://usaybia.net/person/628	https://usaybia.net/person/628	
6	629	https://usaybia.net/person/629	https://usaybia.net/person/629_____________													,https://usaybia.net/person/629	https://usaybia.net/person/629	
6	630	https://usaybia.net/person/630	https://usaybia.net/person/630_____________													,https://usaybia.net/person/630	https://usaybia.net/person/630	
6	631	https://usaybia.net/person/631	https://usaybia.net/person/631_____________													,https://usaybia.net/person/631	https://usaybia.net/person/631	
6	632	https://usaybia.net/person/632	https://usaybia.net/person/632_____________													,https://usaybia.net/person/632	https://usaybia.net/person/632	
7	700	https://usaybia.net/person/700	https://usaybia.net/person/700_____________													,https://usaybia.net/person/700	https://usaybia.net/person/700	
7	701	https://usaybia.net/person/701	https://usaybia.net/person/701_____________													,https://usaybia.net/person/701	https://usaybia.net/person/701	
7	702	https://usaybia.net/person/702	https://usaybia.net/person/702_____________													,https://usaybia.net/person/702	https://usaybia.net/person/702	
7	703	https://usaybia.net/person/703	https://usaybia.net/person/703_____________													,https://usaybia.net/person/703	https://usaybia.net/person/703	
7	704	https://usaybia.net/person/704	https://usaybia.net/person/704_____________													,https://usaybia.net/person/704	https://usaybia.net/person/704	
7	705	https://usaybia.net/person/705	https://usaybia.net/person/705_____________													,https://usaybia.net/person/705	https://usaybia.net/person/705	
7	706	https://usaybia.net/person/706	https://usaybia.net/person/706_____________													,https://usaybia.net/person/706	https://usaybia.net/person/706	
7	707	https://usaybia.net/person/707	https://usaybia.net/person/707_____________													,https://usaybia.net/person/707	https://usaybia.net/person/707	
7	708	https://usaybia.net/person/708	https://usaybia.net/person/708_____________													,https://usaybia.net/person/708	https://usaybia.net/person/708	
7	709	https://usaybia.net/person/709	https://usaybia.net/person/709_____________													,https://usaybia.net/person/709	https://usaybia.net/person/709	
7	710	https://usaybia.net/person/710	https://usaybia.net/person/710_____________													,https://usaybia.net/person/710	https://usaybia.net/person/710	
7	711	https://usaybia.net/person/711	https://usaybia.net/person/711_____________													,https://usaybia.net/person/711	https://usaybia.net/person/711	
7	712	https://usaybia.net/person/712	https://usaybia.net/person/712_____________													,https://usaybia.net/person/712	https://usaybia.net/person/712	
7	713	https://usaybia.net/person/713	https://usaybia.net/person/713_____________													,https://usaybia.net/person/713	https://usaybia.net/person/713	
7	714	https://usaybia.net/person/714	https://usaybia.net/person/714_____________													,https://usaybia.net/person/714	https://usaybia.net/person/714	
7	715	https://usaybia.net/person/715	https://usaybia.net/person/715_____________													,https://usaybia.net/person/715	https://usaybia.net/person/715	
